sample,method,db,HitID
E-coli,blastx,swissprot,sp|P0A3L3.1|
E-coli,blastx,swissprot,sp|P0AAT8.1|
E-coli,blastx,swissprot,sp|A4WEI9.1|
E-coli,blastn,nt,gi|1862738216|gb|CP055292.1|
E-coli,blastn,nt,gi|1862738216|gb|CP055292.1|
E-coli,blastn,nt,gi|1860443381|gb|CP055124.1|
E-coli,blastn,nt,gi|1862738216|gb|CP055292.1|
E-coli,blastn,nt,gi|1862738216|gb|CP055292.1|
E-coli,blastn,nt,gi|1862738216|gb|CP055292.1|
E-coli,blastn,nt,gi|1862738216|gb|CP055292.1|
E-coli,blastn,nt,gi|1862738216|gb|CP055292.1|
E-coli,blastn,nt,gi|1862738216|gb|CP055292.1|
E-coli,blastn,nt,gi|1862738216|gb|CP055292.1|
E-coli,blastn,nt,gi|1799616543|gb|CP047094.1|
E-coli,blastn,nt,gi|1799616543|gb|CP047094.1|
